29.57,28.42,27.53,27.41,28.6,32.75,39.93,42.48,34.41,29.54,26.4,24.78,22.67,23.21,25.21,30.94,39.24,52.5,52.09,47.15,44.35,38.99,34.93,32.01
26.94,25,23.43,23.76,26.64,32.93,44.29,41.15,29.61,21.03,16.75,15.19,13.1,13.66,14.99,21.33,31.78,46.15,58.35,48.97,45.39,38.83,33.88,29.64
22.66,20.45,19.15,19.45,22.58,31.12,40.34,39.41,26.5,16.59,13.07,11.11,10.29,10.67,11.41,13.7,19.33,31.87,48.98,55.05,46.27,38.49,31.81,26.95
22.34,21,19.14,19.15,23.04,32.31,41.38,32.06,19.47,13.56,11.07,9.08,7.51,8.1,9.12,10.51,14.29,22.49,39.86,62.28,56.56,43.24,32.19,26.55
22.18,19.53,17.4,17.31,20.1,28.78,32.95,24.45,16.3,14.15,13.13,13.12,13,14.32,16.11,17.9,21.22,26.58,39.98,55.3,59.71,44.13,32.21,25.84
25.69,22.89,21.7,21.32,22.9,27.25,27.61,22.11,17.8,18.07,19.62,21.37,23.11,25.82,28.05,30.88,36.36,40.38,51.4,68.89,54.57,42.72,32.63,28.28
37.51,33.37,31.85,30.63,30.97,33.62,38.1,34.93,31.05,34.08,39.48,44.31,53.58,60.09,66.26,71.14,79.22,90.75,117.48,136.61,91.47,66.9,49.44,42.32
38.29,34.69,33.2,32.18,32.8,35.69,40.95,37.96,31.4,32.39,36.95,41.55,48.52,56.72,64.78,72.72,83.74,100.35,135.46,138.6,90.92,66.27,51.65,43.16
31.24,29.59,28.75,28.19,28.84,31.79,35.88,33.73,26.19,22.82,23.24,25.07,27.02,30.26,33.07,36.95,42.04,53.49,78.23,76.67,53.8,40.67,36.18,33.04
30.73,28.99,28.1,27.53,28.67,32.18,39.61,41.95,31.27,24.4,22.85,24.02,26.14,28,30.14,33.19,38,57.48,82.31,69.19,50.29,43.2,37.91,33.63
27.91,26.5,25.76,25.46,26.91,31.53,39.27,36.77,28.25,23.07,22,22.91,22.79,24.35,26.32,32.89,45.77,67.41,57.75,47.39,43.77,38.23,34.35,30.47
30.81,29.53,28.63,28.61,29.58,34.26,43.7,43.49,34.39,29.41,25.78,24.11,22.17,23.44,26.85,33.19,46.17,62.62,59.18,54.12,50.84,44.45,38.31,33.2
